,RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,id,team_img,player_img
490,491,Udoka Azubuike,PHX,C,16,7.1,2.2,1.0,1.4,69.6,0.0,0.0,0.0,0.2,0.8,23.1,2.0,0.2,0.1,0.4,0.3,1,0,4066299,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066299.png&w=350&h=254
491,492,Trent Forrest,ATL,G,38,10.9,2.2,0.9,2.4,37.8,0.1,0.3,20.0,0.3,0.4,76.5,1.3,2.4,0.3,0.1,0.5,0,0,4065656,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065656.png&w=350&h=254
492,493,Reggie Bullock Jr.,HOU,SF,44,9.5,2.2,0.8,1.9,41.5,0.6,1.5,40.3,0.0,0.0,100.0,1.7,0.3,0.3,0.1,0.2,0,0,2528779,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528779.png&w=350&h=254
493,494,Colby Jones,SAC,G,30,6.4,2.1,0.9,2.4,39.4,0.1,0.7,9.1,0.2,0.4,54.5,1.3,0.7,0.2,0.2,0.3,0,0,4433378,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433378.png&w=350&h=254
494,495,Ish Wainright,POR/PHX,F,11,5.6,2.1,0.6,2.2,29.2,0.6,1.8,35.0,0.2,0.2,100.0,1.3,0.1,0.4,0.1,0.2,0,0,3059307,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3059307.png&w=350&h=254
495,496,Jericho Sims,NY,C,45,13.0,2.0,0.8,1.2,69.1,0.0,0.0,0.0,0.4,0.5,66.7,3.3,0.6,0.2,0.4,0.4,0,0,4277922,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ny.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277922.png&w=350&h=254
496,497,Kobe Brown,LAC,G,44,9.0,2.0,0.8,2.0,41.1,0.3,1.1,29.2,0.0,0.0,50.0,1.4,0.6,0.3,0.1,0.2,0,0,4431752,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431752.png&w=350&h=254
497,498,Mamadi Diakite,SA/NY,F,6,4.0,2.0,0.7,1.0,66.7,0.0,0.2,0.0,0.7,1.0,66.7,0.7,0.3,0.2,0.2,0.2,0,0,3947156,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3947156.png&w=350&h=254
498,499,Ty Jerome,CLE,SG,2,7.5,2.0,1.0,2.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.5,0,0,4065733,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065733.png&w=350&h=254
499,500,Jordan Ford,SAC,G,6,3.7,2.0,0.7,1.2,57.1,0.3,0.5,66.7,0.3,0.3,100.0,0.3,0.3,0.0,0.0,0.2,0,0,4066736,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066736.png&w=350&h=254
500,501,Kevon Harris,ORL,G,2,3.0,2.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0,0,4067858,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4067858.png&w=350&h=254
501,502,Lindell Wigginton,MIL,G,3,2.7,2.0,0.7,1.7,40.0,0.0,0.7,0.0,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.3,0,0,4277887,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277887.png&w=350&h=254
502,503,Markquis Nowell,TOR,G,1,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,2.0,1.0,0.0,0.0,0,0,4397554,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397554.png&w=350&h=254
503,504,Isaiah Wong,IND,G,1,4.0,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4431727,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431727.png&w=350&h=254
504,505,JD Davison,BOS,SG,8,4.9,2.0,0.6,1.5,41.7,0.4,0.9,42.9,0.4,0.5,75.0,1.3,1.3,0.1,0.1,0.3,0,0,4576085,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4576085.png&w=350&h=254
505,506,D'Moi Hodge,LAL,G,7,5.9,2.0,0.7,2.1,33.3,0.4,1.7,25.0,0.1,0.3,50.0,0.0,0.7,0.1,0.1,0.1,0,0,4702702,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4702702.png&w=350&h=254
506,507,Daishen Nix,MIN,SG,15,3.3,1.8,0.6,1.6,37.5,0.4,1.1,35.3,0.2,0.4,50.0,0.2,0.4,0.3,0.0,0.3,0,0,4432176,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432176.png&w=350&h=254
507,508,Justin Minaya,POR,F,34,11.2,1.8,0.6,2.2,29.7,0.4,1.4,24.5,0.1,0.3,55.6,1.6,0.6,0.3,0.3,0.3,0,0,4278111,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278111.png&w=350&h=254
508,509,Cody Zeller,NO,C,43,7.4,1.8,0.6,1.4,41.9,0.0,0.1,33.3,0.5,0.9,60.5,2.6,0.9,0.2,0.1,0.4,0,0,2579258,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2579258.png&w=350&h=254
509,510,Kessler Edwards,SAC,SF,54,5.1,1.7,0.6,1.5,41.5,0.4,1.0,38.5,0.1,0.2,55.6,0.8,0.3,0.2,0.1,0.1,0,0,4397693,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397693.png&w=350&h=254
510,511,Jason Preston,UTAH,G,7,10.1,1.7,0.9,2.7,31.6,0.0,0.4,0.0,0.0,0.0,0.0,2.4,2.3,0.3,0.1,0.3,0,0,4397916,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397916.png&w=350&h=254
511,512,Leonard Miller,MIN,F,17,3.1,1.7,0.8,1.2,65.0,0.1,0.3,40.0,0.1,0.1,50.0,1.2,0.5,0.1,0.1,0.1,0,0,5044385,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5044385.png&w=350&h=254
512,513,Taj Gibson,NY/DET,F,20,10.3,1.7,0.8,1.9,40.5,0.1,0.5,20.0,0.1,0.1,100.0,1.9,0.6,0.2,0.4,0.3,0,0,3986,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3986.png&w=350&h=254
513,514,P.J. Tucker,LAC/PHI,PF,31,15.7,1.7,0.6,1.6,36.0,0.4,1.1,37.1,0.1,0.1,100.0,2.7,0.5,0.5,0.2,0.3,0,0,3033,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3033.png&w=350&h=254
514,515,Jordan Walsh,BOS,G,9,9.2,1.7,0.7,1.7,40.0,0.2,1.0,22.2,0.1,0.2,50.0,2.2,0.6,0.6,0.1,0.3,0,0,4683689,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683689.png&w=350&h=254
515,516,Jordan Miller,LAC,G,8,3.5,1.6,0.6,1.1,55.6,0.1,0.3,50.0,0.3,0.3,100.0,0.6,0.0,0.0,0.0,0.1,0,0,4396818,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4396818.png&w=350&h=254
516,517,Jalen Hood-Schifino,LAL,G,21,5.2,1.6,0.5,2.1,22.2,0.1,0.7,13.3,0.6,1.0,60.0,0.6,0.4,0.1,0.1,0.4,0,0,5105797,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105797.png&w=350&h=254
517,518,Jett Howard,ORL,G,18,3.7,1.6,0.6,1.7,33.3,0.4,1.4,28.0,0.1,0.2,50.0,0.4,0.3,0.1,0.1,0.2,0,0,5105806,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105806.png&w=350&h=254
518,519,Josh Minott,MIN,F,32,2.8,1.6,0.5,1.1,47.2,0.1,0.3,40.0,0.4,0.4,85.7,0.5,0.3,0.2,0.2,0.1,0,0,4687718,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4687718.png&w=350&h=254
519,520,Jalen Pickett,DEN,G,27,4.5,1.6,0.6,1.3,42.9,0.3,0.9,36.0,0.1,0.1,75.0,0.5,0.8,0.1,0.0,0.3,0,0,4398390,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4398390.png&w=350&h=254
520,521,Seth Lundy,ATL,G,9,5.8,1.6,0.4,1.9,23.5,0.3,1.4,23.1,0.3,0.4,75.0,0.8,0.0,0.0,0.0,0.1,0,0,4431775,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431775.png&w=350&h=254
521,522,Ibou Badji,POR,C,22,10.3,1.5,0.6,1.0,63.6,0.0,0.0,0.0,0.3,0.5,50.0,2.3,0.6,0.1,0.9,0.7,0,0,4871140,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4871140.png&w=350&h=254
522,523,Jack White,MEM,F,4,16.0,1.5,0.5,4.0,12.5,0.5,2.5,20.0,0.0,0.0,0.0,3.0,0.3,1.0,0.3,0.5,0,0,4065653,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065653.png&w=350&h=254
523,524,Colin Castleton,LAL,C,16,3.7,1.5,0.6,1.0,56.3,0.0,0.0,0.0,0.4,0.4,100.0,0.8,0.2,0.1,0.0,0.2,0,0,4397204,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397204.png&w=350&h=254
524,525,Adam Flagler,OKC,F,2,7.0,1.5,0.5,3.5,14.3,0.5,3.0,16.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,4397654,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397654.png&w=350&h=254
525,526,Dariq Whitehead,BKN,F,2,12.0,1.5,0.5,2.5,20.0,0.0,1.5,0.0,0.5,1.0,50.0,2.0,1.5,0.0,0.5,0.0,0,0,4432735,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432735.png&w=350&h=254
526,527,Terry Taylor,CHI,F,31,6.1,1.5,0.6,1.3,51.3,0.1,0.3,22.2,0.1,0.2,80.0,1.2,0.3,0.2,0.1,0.2,0,0,4279815,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4279815.png&w=350&h=254
527,528,Jacob Toppin,NY,F,9,4.2,1.4,0.6,1.0,55.6,0.1,0.4,25.0,0.2,0.2,100.0,0.8,0.3,0.0,0.1,0.1,0,0,4592461,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ny.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592461.png&w=350&h=254
528,529,Jermaine Samuels Jr.,HOU,F,14,4.3,1.4,0.6,1.0,64.3,0.0,0.1,0.0,0.1,0.1,100.0,0.9,0.2,0.1,0.1,0.0,0,0,4278588,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278588.png&w=350&h=254
529,530,Jerome Robinson,GS,SG,22,3.7,1.4,0.5,1.5,33.3,0.1,0.8,11.8,0.3,0.5,63.6,0.3,0.2,0.0,0.1,0.1,0,0,3943606,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gs.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3943606.png&w=350&h=254
530,531,Mason Jones,SAC,G,5,5.6,1.4,0.4,1.6,25.0,0.4,1.4,28.6,0.2,0.4,50.0,1.0,1.0,0.2,0.0,0.4,0,0,4395704,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395704.png&w=350&h=254
531,532,Kendall Brown,IND,SG,15,4.2,1.4,0.5,1.0,53.3,0.0,0.1,0.0,0.3,0.5,62.5,0.3,0.3,0.0,0.0,0.1,0,0,4433254,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433254.png&w=350&h=254
532,533,Isaiah Thomas,PHX,G,6,3.2,1.3,0.5,1.7,30.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,6472,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6472.png&w=350&h=254
533,534,Nathan Mensah,CHA,C,25,12.3,1.3,0.5,1.1,42.9,0.0,0.0,0.0,0.4,0.5,75.0,2.6,0.4,0.2,0.6,0.6,0,0,4397371,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397371.png&w=350&h=254
534,535,TyTy Washington Jr.,MIL,G,11,5.1,1.3,0.5,1.8,30.0,0.2,0.5,33.3,0.0,0.0,0.0,0.5,0.5,0.3,0.0,0.2,0,0,4683749,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683749.png&w=350&h=254
535,536,R.J. Hampton,MIA/WSH,G,8,9.5,1.3,0.5,1.8,28.6,0.1,1.0,12.5,0.1,0.3,50.0,0.8,1.0,0.0,0.0,0.4,0,0,4590530,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4590530.png&w=350&h=254
536,537,Chris Livingston,MIL,F,21,4.3,1.2,0.5,1.0,50.0,0.0,0.2,20.0,0.1,0.2,75.0,1.0,0.2,0.1,0.0,0.2,0,0,4433622,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433622.png&w=350&h=254
537,538,Keyontae Johnson,OKC,F,9,7.3,1.2,0.6,1.8,31.3,0.1,0.3,33.3,0.0,0.0,0.0,1.1,0.4,0.1,0.0,0.4,0,0,4395714,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395714.png&w=350&h=254
538,539,Jay Huff,DEN,C,20,2.5,1.2,0.5,0.8,60.0,0.2,0.5,33.3,0.1,0.1,100.0,0.6,0.1,0.1,0.2,0.1,0,0,4065731,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065731.png&w=350&h=254
539,540,Admiral Schofield,ORL,SF,23,3.7,1.1,0.4,1.1,38.5,0.3,0.7,37.5,0.0,0.1,0.0,0.7,0.3,0.0,0.0,0.2,0,0,3918423,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3918423.png&w=350&h=254
540,541,Robin Lopez,MIL,C,16,4.1,1.1,0.4,1.2,36.8,0.1,0.5,25.0,0.1,0.1,100.0,0.3,0.3,0.1,0.2,0.1,0,0,3447,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3447.png&w=350&h=254
541,542,Hunter Tyson,DEN,F,18,2.7,1.1,0.4,1.1,40.0,0.2,0.8,28.6,0.0,0.0,0.0,0.5,0.1,0.1,0.0,0.1,0,0,4395620,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395620.png&w=350&h=254
542,543,Braxton Key,DEN,F,20,3.0,1.1,0.4,0.9,41.2,0.1,0.3,40.0,0.3,0.4,75.0,0.9,0.5,0.1,0.1,0.1,0,0,4066240,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066240.png&w=350&h=254
543,544,Hamidou Diallo,WSH,G,2,2.5,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.5,0,0,4080610,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4080610.png&w=350&h=254
544,545,Frank Ntilikina,CHA,PG,5,8.6,1.0,0.2,1.8,11.1,0.2,1.6,12.5,0.4,0.4,100.0,1.2,0.8,0.0,0.0,0.2,0,0,4230547,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4230547.png&w=350&h=254
545,546,Filip Petrusev,SAC/PHI,PF,3,3.0,1.0,0.3,0.7,50.0,0.0,0.0,0.0,0.3,0.7,50.0,0.3,0.0,0.0,0.0,0.0,0,0,4397667,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397667.png&w=350&h=254
546,547,Joshua Primo,LAC,G,2,5.0,1.0,0.5,1.5,33.3,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,2.0,0,0,4702176,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4702176.png&w=350&h=254
547,548,Thanasis Antetokounmpo,MIL,SF,34,4.6,0.9,0.5,0.9,53.3,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.5,0.2,0.1,0.4,0,0,3102533,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3102533.png&w=350&h=254
548,549,James Johnson,IND,PF,9,5.2,0.9,0.3,1.1,30.0,0.0,0.2,0.0,0.2,0.2,100.0,0.4,0.9,0.6,0.1,0.6,0,0,3999,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3999.png&w=350&h=254
549,550,DaQuan Jeffries,NY,SG,17,2.7,0.8,0.4,1.0,35.3,0.1,0.6,20.0,0.0,0.1,0.0,0.3,0.3,0.0,0.1,0.2,0,0,3913220,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ny.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3913220.png&w=350&h=254
550,551,Charlie Brown Jr.,NY,G,8,4.6,0.8,0.3,1.3,20.0,0.3,0.9,28.6,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0,0,4066508,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ny.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066508.png&w=350&h=254
551,552,Wendell Moore Jr.,MIN,G,25,3.0,0.7,0.4,0.7,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.2,0.2,0.0,0.2,0,0,4592187,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592187.png&w=350&h=254
552,553,Alondes Williams,MIA,G,7,2.3,0.7,0.3,1.1,25.0,0.0,0.6,0.0,0.1,0.1,100.0,0.1,0.0,0.0,0.1,0.3,0,0,4592216,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592216.png&w=350&h=254
553,554,Shaquille Harrison,MEM,G,3,2.0,0.7,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0,0,2991274,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2991274.png&w=350&h=254
554,555,Jalen Slawson,SAC,F,12,3.1,0.7,0.3,0.5,66.7,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.1,0.1,0.2,0,0,4398207,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4398207.png&w=350&h=254
555,556,Pat Spencer,GS,G,6,4.3,0.7,0.3,0.7,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.8,0.0,0.0,0.2,0,0,4592714,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gs.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592714.png&w=350&h=254
556,557,Quenton Jackson,IND,G,3,3.7,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.7,100.0,1.3,0.7,0.3,0.0,0.0,0,0,4592829,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592829.png&w=350&h=254
557,558,Juan Toscano-Anderson,SAC,F,11,4.8,0.6,0.3,1.1,25.0,0.1,0.4,25.0,0.0,0.0,0.0,1.3,0.4,0.1,0.1,0.2,0,0,4401416,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4401416.png&w=350&h=254
