RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,id,team_img,player_img
50,Antwainette Walker,EKU,G,29,30.8,18.3,6.8,17.2,39.4,1.5,4.8,31.7,3.2,3.9,82.1,5.9,1.3,1.8,0.2,3.3,4400574,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2198.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4400574.png&w=350&h=254
51,Laniah Randle,SIU,F,29,30.8,18.3,6.9,14.3,48.6,0.0,0.1,0.0,4.4,6.0,74.0,8.6,1.5,2.2,0.7,2.6,4664773,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/79.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4664773.png&w=350&h=254
52,Desi-Rae Young,UNLV,C,33,28.8,18.3,7.6,13.4,56.8,0.3,1.0,29.4,2.8,4.0,68.4,9.1,2.2,1.3,0.4,2.3,4704625,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2439.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704625.png&w=350&h=254
53,Dazia Lawrence,CLT,G,31,33.0,18.2,6.4,14.9,42.6,1.1,3.6,31.3,4.4,5.5,80.0,4.2,2.7,1.8,0.1,3.0,4594980,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2429.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4594980.png&w=350&h=254
54,Zanai Barnett-Gay,NAVY,G,30,34.6,18.2,6.8,16.7,40.6,1.0,3.5,29.5,3.6,4.7,75.9,6.2,3.0,3.0,0.2,3.3,5178565,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2426.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178565.png&w=350&h=254
55,Katie Dinnebier,DRKE,G,35,30.7,18.1,5.7,10.6,53.9,1.8,4.4,41.6,4.8,5.6,85.7,3.0,6.9,2.4,0.1,2.9,4900053,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2181.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900053.png&w=350&h=254
56,Taylor Donaldson,FOR,G,27,35.3,17.9,6.4,17.2,37.2,2.9,8.0,35.8,2.2,3.1,72.3,5.3,1.6,2.3,0.2,2.2,4703939,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2230.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4703939.png&w=350&h=254
57,Jacy Sheldon,OSU,G,32,33.6,17.8,6.6,13.0,50.5,1.9,5.0,37.3,2.8,3.3,85.8,3.2,3.8,1.9,0.2,2.3,4432865,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4432865.png&w=350&h=254
58,Macy McGlone,EIU,F,33,35.1,17.8,7.2,14.3,50.1,0.2,0.8,30.8,3.3,4.2,78.3,11.9,1.7,1.1,1.8,3.4,4705101,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2197.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4705101.png&w=350&h=254
59,Kurstyn Harden,SFA,C,34,27.6,17.7,6.0,10.8,56.0,0.0,0.2,12.5,5.6,7.0,79.8,7.5,1.6,0.9,0.9,2.4,4594852,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2617.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4594852.png&w=350&h=254
60,Liza Karlen,MARQ,F,32,31.0,17.7,7.5,15.1,49.7,0.8,2.2,35.7,1.9,2.3,82.2,7.9,2.1,0.8,1.2,2.4,4703796,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4703796.png&w=350&h=254
61,Kierra Wheeler,NORF,F,32,30.6,17.6,7.0,14.1,50.0,0.1,0.1,66.7,3.5,4.9,70.9,9.7,1.5,1.6,1.6,2.2,5109726,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2450.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5109726.png&w=350&h=254
62,Aaliyah Edwards,CONN,F,37,30.4,17.6,7.1,11.9,59.3,0.0,0.1,0.0,3.5,4.7,74.7,9.2,2.1,1.7,1.0,2.5,4433408,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433408.png&w=350&h=254
